"website","url","latitude","longitude","country","province","city","address","road_margin","schedule","company","sales_type","fuel_type","fuel_price","last_update_date","insert_date"
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/3610,37.752694,-2.551389,ES,GRANADA,GALERA,CARRETERA HUESCAR A-330 KM. 21,D,L-D: 07:00-11:00,E. S. SAN JOSÉ,P,GB,1.329,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/8027,43.37725,-2.864861,ES,BIZKAIA,BILLELA,CARRETERA MUNGIA-PLENTZIA KM. 18,D,L-V: 06:00-22:00; S-D: 07:00-22:00,PETRONOR,P,GA+,1.709,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/11448,41.576,1.61375,ES,BARCELONA,IGUALADA,"CALLE EL REC CANTONADA JOAN MERCADER, S/N",N,L-D: 24H,PETROMIRALLES,P,GA+,1.489,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/1889,41.397278,2.032917,ES,BARCELONA,MOLINS DE REI,CARRETERA N-340 KM. 1246,N,L-D: 05:00-23:00,SHELL,P,GA,1.619,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/18179,37.39575,-5.938722,ES,SEVILLA,SEVILLA,"CALLE COJINETE, SN",N,L-V: 07:00-21:00; S: 08:00-20:00,APJ,P,GA+,1.479,2023-11-16,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/18634,27.767306,-15.677861,ES,PALMAS (LAS),ARGUINEGUIN,"CALLE DELIOMA, 1",D,L-D: 24H,PCAN,P,SP95,1.295,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/9242,43.297944,-4.795833,ES,ASTURIAS,ARENAS (LAS),"CARRETERA AS-114 KM. 32,80",D,L-D: 08:00-22:00,ESC-PETROLEOS,P,GB,1.265,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/21616,40.481667,0.473333,ES,CASTELLÓN / CASTELLÓ,VINAROS,CARRETERA VALENCIA - BARCELONA KM. 37,D,L-D: 24H,PLENOIL,P,SP95,1.457,2023-11-16,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/5202,36.473333,-5.010972,ES,MÁLAGA,ESTEPONA,"CR N-340, 169,1",I,L-D: 24H,REPSOL,P,SP95,1.689,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/19678,40.080528,-5.534944,ES,CÁCERES,LOSAR DE LA VERA,"DISEMINADO EL ROBLEDO, S/N",D,L-D: 24H,CARBURANTES COOLOSAR,P,GB,1.229,2023-11-13,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/18968,39.388139,-3.220639,ES,CIUDAD REAL,ALCAZAR DE SAN JUAN,CL AVENIDA DE HERENCIA S.N.,D,L-V: 08:00-14:15 y 17:00-21:00; S: 09:00-14:00,REPSOL,P,GA,1.639,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/16262,40.919972,-5.507583,ES,SALAMANCA,FRANCOS VIEJO,"AUTOVIA A50 KM. 86,700",D,L: 07:00-23:00,CEPSA,P,GA,1.659,2023-11-17,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/9220,40.424806,-3.611222,ES,MADRID,MADRID,"AVENIDA CANILLEJAS A VICALVARO, 147",I,L-D: 24H,CEPSA,P,GA+,1.719,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/6420,40.830472,-5.279389,ES,SALAMANCA,MACOTERA,"CALLE SAN GREGORIO, 21",D,L-V: 08:30-20:30; S-D: 09:00-15:00,PETRONOR,P,GA+,1.689,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/11910,42.393306,-8.693944,ES,PONTEVEDRA,MARIN,"CALLE O FORTE, 27",D,L-S: 07:15-22:15; D: 08:30-14:30,REPSOL,P,GA+,1.729,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/7437,40.048361,-3.913361,ES,TOLEDO,YUNCLER,"CR A-42, 47,3",D,L-D: 06:00-22:00,REPSOL,P,SP98,1.799,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/20969,41.741694,-6.486417,ES,ZAMORA,TRABAZOS,"POLIGONO POLIGONO 506, PARCELA 1608-B, 1608",N,L-D: 06:00-23:59,CEPSA,P,SP95,1.619,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/17672,41.892056,2.731972,ES,GIRONA,VILOBI D'ONYAR,CARRETERA GIRONA SANTA COLOAM FARNERS KM. 13,I,L-S: 06:00-22:00; D: 07:00-22:00,BP,P,GA+,1.699,2023-11-19,2023-11-22
